Designator,Mid X,Mid Y,Layer,Rotation
C1,5.21,13.34,TOP,0
D1,3.3,18.8,TOP,0
D2,5.08,5.08,TOP,270
R1,4.95,16.76,TOP,180
R2,5.97,15.37,TOP,180
R3,4.19,5.71,TOP,270
R4,5.21,18.8,TOP,0
R5,5.08,3.18,TOP,270
U1,5.08,10.16,TOP,225
