Designator,Mid X,Mid Y,Layer,Rotation
C1,13.97,54.61,Top,270
C2,14.22,35.56,Top,90
C3,11.56,12.19,Top,180
C4,9.53,5.59,Top,180
C5,14.22,39.37,Top,270
J1,4.12,63.5,Top,270
J2,23.9,63.5,Top,90
R1,5.97,69.72,Top,270
R2,22.73,69.66,Top,90
R4,13.97,58.42,Top,270
U2,11.43,8.89,Top,180
J4,25.4,40.64,Top,90
J3,2.54,40.64,Top,90
J6,6.35,10.16,Top,90
J5,21.59,10.16,Top,90
JP6,25.4,13.97,Top,90
JP3,2.54,13.97,Top,90
U1,13.97,45.72,Top,270
